,Unnamed: 0,Date,DateYear,fdom,ldom,month,dom#,dow#,month_name,dow_name
0,0,2016-01-01,2016,2016-01-01,2016-01-31,1,1,4,January,Tuesday
1,1,2016-01-02,2016,2016-01-01,2016-01-31,1,2,5,January,Wednesday
2,2,2016-01-03,2016,2016-01-01,2016-01-31,1,3,6,January,Thursday
3,3,2016-01-04,2016,2016-01-01,2016-01-31,1,4,0,January,Friday
4,4,2016-01-05,2016,2016-01-01,2016-01-31,1,5,1,January,Saturday
5,5,2016-01-06,2016,2016-01-01,2016-01-31,1,6,2,January,Sunday
6,6,2016-01-07,2016,2016-01-01,2016-01-31,1,7,3,January,Monday
7,7,2016-01-08,2016,2016-01-01,2016-01-31,1,8,4,January,Tuesday
8,8,2016-01-09,2016,2016-01-01,2016-01-31,1,9,5,January,Wednesday
9,9,2016-01-10,2016,2016-01-01,2016-01-31,1,10,6,January,Thursday
10,10,2016-01-11,2016,2016-01-01,2016-01-31,1,11,0,January,Friday
11,11,2016-01-12,2016,2016-01-01,2016-01-31,1,12,1,January,Saturday
12,12,2016-01-13,2016,2016-01-01,2016-01-31,1,13,2,January,Sunday
13,13,2016-01-14,2016,2016-01-01,2016-01-31,1,14,3,January,Monday
14,14,2016-01-15,2016,2016-01-01,2016-01-31,1,15,4,January,Tuesday
15,15,2016-01-16,2016,2016-01-01,2016-01-31,1,16,5,January,Wednesday
16,16,2016-01-17,2016,2016-01-01,2016-01-31,1,17,6,January,Thursday
17,17,2016-01-18,2016,2016-01-01,2016-01-31,1,18,0,January,Friday
18,18,2016-01-19,2016,2016-01-01,2016-01-31,1,19,1,January,Saturday
19,19,2016-01-20,2016,2016-01-01,2016-01-31,1,20,2,January,Sunday
20,20,2016-01-21,2016,2016-01-01,2016-01-31,1,21,3,January,Monday
21,21,2016-01-22,2016,2016-01-01,2016-01-31,1,22,4,January,Tuesday
22,22,2016-01-23,2016,2016-01-01,2016-01-31,1,23,5,January,Wednesday
23,23,2016-01-24,2016,2016-01-01,2016-01-31,1,24,6,January,Thursday
24,24,2016-01-25,2016,2016-01-01,2016-01-31,1,25,0,January,Friday
25,25,2016-01-26,2016,2016-01-01,2016-01-31,1,26,1,January,Saturday
26,26,2016-01-27,2016,2016-01-01,2016-01-31,1,27,2,January,Sunday
27,27,2016-01-28,2016,2016-01-01,2016-01-31,1,28,3,January,Monday
28,28,2016-01-29,2016,2016-01-01,2016-01-31,1,29,4,January,Tuesday
29,29,2016-01-30,2016,2016-01-01,2016-01-31,1,30,5,January,Wednesday
30,30,2016-01-31,2016,2016-01-01,2016-01-31,1,31,6,January,Thursday
31,31,2016-02-01,2016,2016-02-01,2016-02-29,2,1,0,February,Friday
32,32,2016-02-02,2016,2016-02-01,2016-02-29,2,2,1,February,Saturday
33,33,2016-02-03,2016,2016-02-01,2016-02-29,2,3,2,February,Sunday
34,34,2016-02-04,2016,2016-02-01,2016-02-29,2,4,3,February,Monday
35,35,2016-02-05,2016,2016-02-01,2016-02-29,2,5,4,February,Tuesday
36,36,2016-02-06,2016,2016-02-01,2016-02-29,2,6,5,February,Wednesday
37,37,2016-02-07,2016,2016-02-01,2016-02-29,2,7,6,February,Thursday
38,38,2016-02-08,2016,2016-02-01,2016-02-29,2,8,0,February,Friday
39,39,2016-02-09,2016,2016-02-01,2016-02-29,2,9,1,February,Saturday
40,40,2016-02-10,2016,2016-02-01,2016-02-29,2,10,2,February,Sunday
41,41,2016-02-11,2016,2016-02-01,2016-02-29,2,11,3,February,Monday
42,42,2016-02-12,2016,2016-02-01,2016-02-29,2,12,4,February,Tuesday
43,43,2016-02-13,2016,2016-02-01,2016-02-29,2,13,5,February,Wednesday
44,44,2016-02-14,2016,2016-02-01,2016-02-29,2,14,6,February,Thursday
45,45,2016-02-15,2016,2016-02-01,2016-02-29,2,15,0,February,Friday
46,46,2016-02-16,2016,2016-02-01,2016-02-29,2,16,1,February,Saturday
47,47,2016-02-17,2016,2016-02-01,2016-02-29,2,17,2,February,Sunday
48,48,2016-02-18,2016,2016-02-01,2016-02-29,2,18,3,February,Monday
49,49,2016-02-19,2016,2016-02-01,2016-02-29,2,19,4,February,Tuesday
50,50,2016-02-20,2016,2016-02-01,2016-02-29,2,20,5,February,Wednesday
51,51,2016-02-21,2016,2016-02-01,2016-02-29,2,21,6,February,Thursday
