geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1001,-23.54929199999999,-46.633559478233785,são paulo,SP
1002,-23.54464133666111,-46.63317979239999,são paulo,SP
1003,-23.54890065277865,-46.63486176165939,são paulo,SP
1004,-23.54918138051819,-46.634056831669454,são paulo,SP
1005,-23.54875839078997,-46.63476783166945,são paulo,SP
1006,-23.54909870413756,-46.63488479003406,são paulo,SP
1007,-23.547654602971303,-46.63570400444339,são paulo,SP
1008,-23.54425493154535,-46.634639135589296,são paulo,SP
1009,-23.54534853344108,-46.635664756044726,são paulo,SP
1010,-23.54536151393884,-46.63457024562871,são paulo,SP
1011,-23.545577325841062,-46.63477539133823,são paulo,SP
1012,-23.54663965084541,-46.63452647668646,são paulo,SP
1013,-23.546420999999995,-46.6341397692307,são paulo,SP
1014,-23.544631844566958,-46.633311921420805,são paulo,SP
1015,-23.544826346129778,-46.62908488080666,são paulo,SP
1016,-23.548486266588963,-46.63112044738743,são paulo,SP
1017,-23.54863222315192,-46.63035027254893,são paulo,SP
1018,-23.550218647763327,-46.63184861282336,são paulo,SP
1019,-23.551387491805688,-46.62960278559065,são paulo,SP
1020,-23.551192393559933,-46.62813104954122,são paulo,SP
1021,-23.53882519900166,-46.63064558589651,são paulo,SP
1022,-23.544280236741912,-46.63023791550086,são paulo,SP
1023,-23.5390214074384,-46.63065304010618,são paulo,SP
1024,-23.540674513060427,-46.62966044625749,são paulo,SP
1025,-23.53831532619036,-46.6271321114026,são paulo,SP
1026,-23.53889535607948,-46.62849025456588,são paulo,SP
1027,-23.53759400138498,-46.62859298320734,são paulo,SP
1028,-23.534879478157738,-46.63079936594723,são paulo,SP
1029,-23.537313618096828,-46.632850401754254,são paulo,SP
1030,-23.53652807216227,-46.63279105438866,são paulo,SP
1031,-23.536864121011018,-46.63349313820771,são paulo,SP
1032,-23.536266443597523,-46.63404602656908,são paulo,SP
1033,-23.536156075768947,-46.634192025535214,são paulo,SP
1034,-23.54195600553992,-46.63650368497896,são paulo,SP
1035,-23.54020455565808,-46.63739650167344,são paulo,SP
1036,-23.53975390802412,-46.63506710046745,são paulo,SP
1037,-23.543137194010004,-46.637608610595,são paulo,SP
1038,-23.54248070454305,-46.638098877274174,sao paulo,SP
1039,-23.539819023861785,-46.63696720497428,são paulo,SP
1040,-23.539898074383967,-46.6366870320561,são paulo,SP
1041,-23.54320753981771,-46.63915216818633,são paulo,SP
1042,-23.543774559813013,-46.63971870122335,são paulo,SP
1043,-23.544734636418685,-46.64062845559464,são paulo,SP
1044,-23.544475407986656,-46.6399237790698,são paulo,SP
1045,-23.541593762969622,-46.64148202608349,são paulo,SP
1046,-23.545047855675463,-46.642718634341215,são paulo,SP
1047,-23.545423791563262,-46.64006418512321,são paulo,SP
1048,-23.546167438253743,-46.638926759911215,são paulo,SP
1049,-23.545052507905847,-46.63682478157995,são paulo,SP
1050,-23.548470601708207,-46.64047556564139,são paulo,SP
