product_category_name_english,Revenue Change %,RevenueLastYear,RevenueChangeLastYear,PercentOfRevenueCats
construction_tools_construction,4172.52%,2891.49,120648.12,1.68%
drinks,1354.89%,1197.66,16226.98,0.24%
industry_commerce_and_business,1197.34%,2356.63,28216.809999999998,0.42%
signaling_and_security,873.05%,1753.9,15312.340000000002,0.23%
agro_industry_and_commerce,840.22%,4610.74,38740.53,0.59%
home_construction,778.64%,6721.45,52336.22,0.81%
costruction_tools_tools,670.87%,1532.9,10283.76,0.16%
home_appliances_2,596.85%,12470.82,74432.04000000001,1.19%
food_drink,509.69%,1262.4,6434.34,0.10%
books_technical,435.25%,2441.28,10625.56,0.18%
kitchen_dining_laundry_garden_furniture,406.53%,5399.26,21949.47,0.37%
audio,321.75%,7815.34,25145.600000000002,0.45%
home_appliances,294.52%,14232.62,41917.79,0.77%
food,287.59%,5259.87,15127,0.28%
baby,266.33%,69752.87,185773.87,3.49%
stationery,261.31%,37276.56,97407.26999999999,1.84%
watches_gifts,245.30%,204525.1,501710.06000000006,9.63%
electronics,241.86%,29544.23,71456.16,1.38%
fixed_telephony,227.98%,8233.9,18771.489999999998,0.37%
health_beauty,212.22%,246437.55,522998.97000000003,10.49%
housewares,204.96%,130312.71,267088.86,5.42%
telephony,202.99%,59125.07,120019.47,2.44%
costruction_tools_garden,200.29%,5585.99,11188.4,0.23%
music,197.70%,1503.49,2972.4700000000003,0.06%
musical_instruments,187.85%,37431.4,70314.68,1.47%
auto,173.57%,126691.77,219895.68,4.73%
pet_shop,158.14%,49606.09,78447.15000000001,1.75%
sports_leisure,139.43%,221294.17,308557.30999999994,7.23%
computers_accessories,130.93%,217255.1,284444.19999999995,6.84%
books_general_interest,128.43%,11796.09,15150.009999999998,0.37%
furniture_decor,120.05%,174926.73,209995.98,5.25%
bed_bath_table,107.31%,259279.84,278234.29000000004,7.33%
furniture_bedroom,94.21%,5757.11,5424.06,0.15%
office_furniture,90.70%,75127.97,68142.13999999998,1.95%
fashion_bags_accessories,84.69%,37903.03,32100.490000000005,0.95%
art,82.77%,8139.05,6736.8,0.20%
computers,61.56%,39448.99,24283.35,0.87%
garden_tools,50.20%,142760.99,71671.44,2.92%
perfumery,43.62%,123199.67,53745.14,2.41%
toys,42.17%,119198.22,50262.649999999994,2.31%
furniture_living_room,41.71%,23668.79,9871.46,0.46%
furniture_mattress_and_upholstery,37.44%,1324.08,495.72,0.02%
consoles_games,36.47%,46606.42,16999.39,0.87%
small_appliances,32.13%,66161.9,21259.160000000003,1.19%
air_conditioning,29.41%,19214.12,5650.84,0.34%
luggage_accessories,25.81%,50888.32,13134.769999999997,0.87%
cool_stuff,9.32%,210841.75,19653.76000000001,3.14%
home_confort,-4.48%,21863.26,-979.8099999999977,0.28%
fashion_shoes,-5.37%,8978.9,-482.22999999999956,0.12%
fashion_underwear_beach,-8.57%,2700.35,-231.3499999999999,0.03%
market_place,-50.12%,15166.73,-7601.16,0.10%
fashion_male_clothing,-51.78%,4773.97,-2472.1000000000004,0.03%
fashio_female_clothing,-61.52%,1602.6,-985.9399999999999,0.01%
dvds_blu_ray,-62.40%,3012.69,-1879.98,0.02%
fashion_sport,-68.17%,1160.72,-791.22,0.01%
tablets_printing_image,-75.42%,5157.75,-3889.79,0.02%
