State Name,RevenueLastYear,Revenue,Revenue Change,Change Percent,,,State Name,RevenueLastYear,Revenue,Revenue Change,Change Percent
Roraima,877.15,6222.09,5344.94,609.35%,,,Sao Paulo,1097005.95,2952973.1,1855967.15,169.18%
Rio Grande do Norte,15999.68,46796.55,30796.87,192.48%,,,Minas Gerais,335045.81,849612.1,514566.29,153.58%
Distrito Federal,56554.59,155605.43,99050.84,175.14%,,,Rio de Janeiro,438888.99,900321.05,461432.06,105.14%
Sao Paulo,1097005.95,2952973.1,1855967.15,169.18%,,,Parana,159632.88,379330.18,219697.3,137.63%
Pernambuco,52512.42,137433.61,84921.19,161.72%,,,Rio Grande do Sul,180889.84,382733.25,201843.41,111.58%
Amapa,2876.92,7427.66,4550.74,158.18%,,,Santa Catarina,118388.11,284614.82,166226.71,140.41%
Espirito Santo,60123.34,153554.85,93431.51,155.40%,,,Bahia,125977.14,271574.52,145597.38,115.57%
Minas Gerais,335045.81,849612.1,514566.29,153.58%,,,Distrito Federal,56554.59,155605.43,99050.84,175.14%
Paraiba,25302.95,63054.91,37751.96,149.20%,,,Espirito Santo,60123.34,153554.85,93431.51,155.40%
Santa Catarina,118388.11,284614.82,166226.71,140.41%,,,Pernambuco,52512.42,137433.61,84921.19,161.72%
Maranhao,24207.64,58047.24,33839.6,139.79%,,,Roraima,,,,
Parana,159632.88,379330.18,219697.3,137.63%,,,Rio Grande do Norte,,,,
Goias,68740.89,149841.95,81101.06,117.98%,,,Paraiba,,,,
Bahia,125977.14,271574.52,145597.38,115.57%,,,,,,,
Ceara,52650.01,111845.37,59195.36,112.43%,,,,,,,
Amazonas,5595.62,11862.35,6266.73,111.99%,,,Bahia,,,,
Rio Grande do Sul,180889.84,382733.25,201843.41,111.58%,,,Distrito Federal,,,,
Piaui,23427.85,49535.31,26107.46,111.44%,,,Espirito Santo,,,,
Rondonia,10622.97,22159.47,11536.5,108.60%,,,Minas Gerais,,,,
Rio de Janeiro,438888.99,900321.05,461432.06,105.14%,,,Paraiba,,,,
Mato Grosso do Sul,30557.92,62087.45,31529.53,103.18%,,,Parana,,,,
Mato Grosso,38824.4,77639.34,38814.94,99.98%,,,Pernambuco,,,,
Tocantins,13556.57,25477.37,11920.8,87.93%,,,Rio de Janeiro,,,,
Sergipe,15550.77,27158.2,11607.43,74.64%,,,Rio Grande do Norte,,,,
Para,55062.42,86568.69,31506.27,57.22%,,,Rio Grande do Sul,,,,
Alagoas,25811.97,36171.89,10359.92,40.14%,,,Roraima,,,,
Acre,6395.16,5315,-1080.16,-16.89%,,,Santa Catarina,,,,
,,,,,,,Sao Paulo,,,,
