State Name,RevenueLastYear,Revenue,Revenue Change,Change Percent
Roraima,877.15,6222,5344.9400000000005,609.35%
Rio Grande do Norte,15999.68,46797,30796.870000000003,192.48%
Distrito Federal,56554.59,155605,99050.84,175.14%
Sao Paulo,1097005.95,2952973,1855967.1500000001,169.18%
Pernambuco,52512.42,137434,84921.18999999999,161.72%
Espirito Santo,60123.34,153555,93431.51000000001,155.40%
Minas Gerais,335045.81,849612,514566.29,153.58%
Santa Catarina,118388.11,284615,166226.71000000002,140.41%
Parana,159632.88,379330,219697.3,137.63%
Bahia,125977.14,271575,145597.38,115.57%
Rio Grande do Sul,180889.84,382733,201843.41,111.58%
Rio de Janeiro,438888.99,900321,461432.06000000006,105.14%
