Date,DateYear,month,dom#,dow#,month_name,month_short_name,dow_name,fdom,ldom
2016-01-01,2016,1,1,6,January,Jan,Friday,2016-01-01,2016-01-31
2016-01-02,2016,1,2,7,January,Jan,Saturday,2016-01-01,2016-01-31
2016-01-03,2016,1,3,1,January,Jan,Sunday,2016-01-01,2016-01-31
2016-01-04,2016,1,4,2,January,Jan,Monday,2016-01-01,2016-01-31
2016-01-05,2016,1,5,3,January,Jan,Tuesday,2016-01-01,2016-01-31
2016-01-06,2016,1,6,4,January,Jan,Wednesday,2016-01-01,2016-01-31
2016-01-07,2016,1,7,5,January,Jan,Thursday,2016-01-01,2016-01-31
2016-01-08,2016,1,8,6,January,Jan,Friday,2016-01-01,2016-01-31
2016-01-09,2016,1,9,7,January,Jan,Saturday,2016-01-01,2016-01-31
2016-01-10,2016,1,10,1,January,Jan,Sunday,2016-01-01,2016-01-31
2016-01-11,2016,1,11,2,January,Jan,Monday,2016-01-01,2016-01-31
2016-01-12,2016,1,12,3,January,Jan,Tuesday,2016-01-01,2016-01-31
2016-01-13,2016,1,13,4,January,Jan,Wednesday,2016-01-01,2016-01-31
2016-01-14,2016,1,14,5,January,Jan,Thursday,2016-01-01,2016-01-31
2016-01-15,2016,1,15,6,January,Jan,Friday,2016-01-01,2016-01-31
2016-01-16,2016,1,16,7,January,Jan,Saturday,2016-01-01,2016-01-31
2016-01-17,2016,1,17,1,January,Jan,Sunday,2016-01-01,2016-01-31
2016-01-18,2016,1,18,2,January,Jan,Monday,2016-01-01,2016-01-31
2016-01-19,2016,1,19,3,January,Jan,Tuesday,2016-01-01,2016-01-31
2016-01-20,2016,1,20,4,January,Jan,Wednesday,2016-01-01,2016-01-31
2016-01-21,2016,1,21,5,January,Jan,Thursday,2016-01-01,2016-01-31
2016-01-22,2016,1,22,6,January,Jan,Friday,2016-01-01,2016-01-31
2016-01-23,2016,1,23,7,January,Jan,Saturday,2016-01-01,2016-01-31
2016-01-24,2016,1,24,1,January,Jan,Sunday,2016-01-01,2016-01-31
2016-01-25,2016,1,25,2,January,Jan,Monday,2016-01-01,2016-01-31
2016-01-26,2016,1,26,3,January,Jan,Tuesday,2016-01-01,2016-01-31
2016-01-27,2016,1,27,4,January,Jan,Wednesday,2016-01-01,2016-01-31
2016-01-28,2016,1,28,5,January,Jan,Thursday,2016-01-01,2016-01-31
2016-01-29,2016,1,29,6,January,Jan,Friday,2016-01-01,2016-01-31
2016-01-30,2016,1,30,7,January,Jan,Saturday,2016-01-01,2016-01-31
2016-01-31,2016,1,31,1,January,Jan,Sunday,2016-01-01,2016-01-31
2016-02-01,2016,2,1,2,February,Feb,Monday,2016-02-01,2016-02-29
2016-02-02,2016,2,2,3,February,Feb,Tuesday,2016-02-01,2016-02-29
2016-02-03,2016,2,3,4,February,Feb,Wednesday,2016-02-01,2016-02-29
2016-02-04,2016,2,4,5,February,Feb,Thursday,2016-02-01,2016-02-29
2016-02-05,2016,2,5,6,February,Feb,Friday,2016-02-01,2016-02-29
2016-02-06,2016,2,6,7,February,Feb,Saturday,2016-02-01,2016-02-29
2016-02-07,2016,2,7,1,February,Feb,Sunday,2016-02-01,2016-02-29
