geolocation_state,Latitude,Longatitude
AC,-9.93054219677997,-67.80664839218613
AL,-9.556679429453096,-36.097884712231334
AM,-3.0746435579375584,-59.99154377660927
AP,0.0803844646905117,-51.10241653997514
BA,-12.898140510453123,-38.95775152258498
CE,-3.824197994012629,-38.65635476366275
DF,-15.802542000000004,-47.907328086588976
ES,-20.276360714590428,-40.36603675881896
GO,-16.64535074864296,-49.24355509368701
MA,-3.6512669952524406,-44.43058249999996
MG,-19.85577769900167,-43.951022454938254
MS,-20.51984796364473,-54.6281594521322
MT,-15.539048064220593,-55.98745237076161
PA,-1.4578593207589032,-48.46226587538232
PB,-7.123230240046269,-35.88332357288752
PE,-8.071491302465958,-35.015792503111115
PI,-5.833237787328495,-42.58037075008656
PR,-24.93399238386507,-51.22243471977025
RJ,-22.750865014664036,-43.234820439494484
RN,-5.843621388020015,-35.80418135561955
RO,-10.844261490436065,-62.35590391044764
RR,2.842339701662544,-60.684049768344835
RS,-29.65435229706507,-51.66381260260398
SC,-27.037345458778116,-49.31256185746058
SE,-10.872707280050731,-37.076947208436735
SP,-23.51692642198222,-46.66605149125744
TO,-9.890588036220208,-48.30135629328935
