state_code,state_name,region
AC,Acre,North
AL,Alagoas,North East
AP,Amapa,North
AM,Amazonas,North
BA,Bahia,North East
CE,Ceara,North East
DF,Distrito Federal,Central-West
ES,Espirito Santo,Southeast
GO,Goias,Central-West
MA,Maranhao,North East
MT,Mato Grosso,Central-West
MS,Mato Grosso do Sul,Central-West
MG,Minas Gerais,Southeast
PA,Para,North
PB,Paraiba,North East
PR,Parana,South
PE,Pernambuco,North East
PI,Piaui,North East
RJ,Rio de Janeiro,Southeast
RN,Rio Grande do Norte,North East
RS,Rio Grande do Sul,South
RO,Rondonia,North
RR,Roraima,North
SC,Santa Catarina,South
SP,Sao Paulo,Southeast
SE,Sergipe,North East
TO,Tocantins,North
