,state,latitude,longatitude,year,Order_Count,Sales
0,Acre,-9.93054219677997,-67.80664839218613,2017,54,9995.460000000001
1,Acre,-9.93054219677997,-67.80664839218613,2018,27,4915.5
2,Alagoas,-9.556679429453096,-36.09788471223133,2017,203,40399.85
3,Alagoas,-9.556679429453096,-36.09788471223133,2018,203,35412.54
4,Amapa,0.0803844646905117,-51.10241653997514,2017,28,5275.24
5,Amapa,0.0803844646905117,-51.10241653997514,2018,39,6349.74
6,Amazonas,-3.0746435579375584,-59.99154377660927,2017,74,9930.89
7,Amazonas,-3.0746435579375584,-59.99154377660927,2018,73,10959.78
8,Bahia,-12.898140510453125,-38.95775152258498,2017,1561,209156.07
9,Bahia,-12.898140510453125,-38.95775152258498,2018,1768,247305.1
10,Ceara,-3.824197994012629,-38.65635476366275,2017,650,103128.84
11,Ceara,-3.824197994012629,-38.65635476366275,2018,661,102813.84
12,Distrito Federal,-15.802542000000004,-47.907328086588976,2017,898,122140.43000000001
13,Distrito Federal,-15.802542000000004,-47.907328086588976,2018,1209,154103.13
14,Espirito Santo,-20.276360714590428,-40.36603675881896,2017,957,110748.45
15,Espirito Santo,-20.276360714590428,-40.36603675881896,2018,1055,139586.65
16,Goias,-16.64535074864296,-49.24355509368701,2017,938,121175.73
17,Goias,-16.64535074864296,-49.24355509368701,2018,1047,135218.53
18,Maranhao,-3.6512669952524406,-44.43058249999996,2017,378,56278.04
19,Maranhao,-3.6512669952524406,-44.43058249999996,2018,354,52210.97
20,Mato Grosso,-15.539048064220593,-55.98745237076161,2017,417,67481.3
21,Mato Grosso,-15.539048064220593,-55.98745237076161,2018,482,69129.69
22,Mato Grosso do Sul,-20.51984796364473,-54.6281594521322,2017,293,49411.55
23,Mato Grosso do Sul,-20.51984796364473,-54.6281594521322,2018,412,58613.39
24,Minas Gerais,-19.85577769900167,-43.951022454938254,2017,5298,650443.92
25,Minas Gerais,-19.85577769900167,-43.951022454938254,2018,6127,789035.45
26,Para,-1.4578593207589032,-48.46226587538232,2017,498,85618.27
27,Para,-1.4578593207589032,-48.46226587538232,2018,465,80090.16
28,Paraiba,-7.123230240046269,-35.88332357288752,2017,255,47356.56
29,Paraiba,-7.123230240046269,-35.88332357288752,2018,273,58924.81
30,Parana,-24.93399238386507,-51.22243471977025,2017,2217,263018.65
31,Parana,-24.93399238386507,-51.22243471977025,2018,2730,347609.35
32,Pernambuco,-8.071491302465958,-35.015792503111115,2017,755,111721.02
33,Pernambuco,-8.071491302465958,-35.015792503111115,2018,871,130043.12
34,Piaui,-5.833237787328495,-42.58037075008656,2017,223,32887.88
35,Piaui,-5.833237787328495,-42.58037075008656,2018,263,45281.55
36,Rio Grande do Norte,-5.843621388020015,-35.80418135561955,2017,231,32939.67
37,Rio Grande do Norte,-5.843621388020015,-35.80418135561955,2018,246,44180.6
38,Rio Grande do Sul,-29.65435229706507,-51.66381260260398,2017,2621,326079.26
39,Rio Grande do Sul,-29.65435229706507,-51.66381260260398,2018,2760,348141.57
40,Rio de Janeiro,-22.75086501466404,-43.23482043949448,2017,6110,813830.3
41,Rio de Janeiro,-22.75086501466404,-43.23482043949448,2018,6512,820567.39
42,Rondonia,-10.844261490436065,-62.35590391044764,2017,135,23042.49
43,Rondonia,-10.844261490436065,-62.35590391044764,2018,109,20891.41
44,Roraima,2.842339701662544,-60.68404976834484,2017,18,1323.2
45,Roraima,2.842339701662544,-60.68404976834484,2018,25,5432.74
46,Santa Catarina,-27.03734545877812,-49.31256185746058,2017,1680,206025.21
47,Santa Catarina,-27.03734545877812,-49.31256185746058,2018,1896,259312.82
48,Sao Paulo,-23.51692642198222,-46.66605149125744,2017,17320,1987568.4
49,Sao Paulo,-23.51692642198222,-46.66605149125744,2018,23567,2687108.12
50,Sergipe,-10.872707280050731,-37.076947208436735,2017,189,28218.97
51,Sergipe,-10.872707280050731,-37.076947208436735,2018,153,25740.78
52,Tocantins,-9.890588036220208,-48.30135629328935,2017,132,22743.53
53,Tocantins,-9.890588036220208,-48.30135629328935,2018,145,23510.64
