,dateyear,order_date,review_score,score_count
0,2017,2017-01-05,3,1
1,2017,2017-01-05,4,1
2,2017,2017-01-05,5,30
3,2017,2017-01-06,4,1
4,2017,2017-01-06,5,3
5,2017,2017-01-07,1,2
6,2017,2017-01-07,5,2
7,2017,2017-01-08,1,2
8,2017,2017-01-08,3,1
9,2017,2017-01-08,5,3
10,2017,2017-01-09,1,2
11,2017,2017-01-09,5,3
12,2017,2017-01-10,1,2
13,2017,2017-01-10,4,1
14,2017,2017-01-10,5,3
15,2017,2017-01-11,1,3
16,2017,2017-01-11,3,1
17,2017,2017-01-11,5,8
18,2017,2017-01-12,1,3
19,2017,2017-01-12,4,3
20,2017,2017-01-12,5,7
21,2017,2017-01-13,1,1
22,2017,2017-01-13,3,1
23,2017,2017-01-13,4,1
24,2017,2017-01-13,5,8
25,2017,2017-01-14,1,2
26,2017,2017-01-14,2,1
27,2017,2017-01-14,3,4
28,2017,2017-01-14,4,5
29,2017,2017-01-14,5,5
30,2017,2017-01-15,2,1
31,2017,2017-01-15,3,1
32,2017,2017-01-15,4,2
33,2017,2017-01-15,5,10
34,2017,2017-01-16,1,3
35,2017,2017-01-16,3,1
36,2017,2017-01-16,4,3
37,2017,2017-01-16,5,11
38,2017,2017-01-17,2,2
39,2017,2017-01-17,3,4
40,2017,2017-01-17,4,10
41,2017,2017-01-17,5,17
42,2017,2017-01-18,1,5
43,2017,2017-01-18,3,5
44,2017,2017-01-18,4,6
45,2017,2017-01-18,5,14
46,2017,2017-01-19,1,3
47,2017,2017-01-19,2,1
48,2017,2017-01-19,3,2
49,2017,2017-01-19,4,8
50,2017,2017-01-19,5,15
51,2017,2017-01-20,1,2
52,2017,2017-01-20,3,1
53,2017,2017-01-20,4,5
54,2017,2017-01-20,5,21
55,2017,2017-01-21,1,3
56,2017,2017-01-21,2,2
57,2017,2017-01-21,3,3
58,2017,2017-01-21,4,7
59,2017,2017-01-21,5,9
60,2017,2017-01-22,1,4
61,2017,2017-01-22,3,6
62,2017,2017-01-22,4,6
63,2017,2017-01-22,5,15
64,2017,2017-01-23,1,9
65,2017,2017-01-23,2,2
66,2017,2017-01-23,3,2
67,2017,2017-01-23,4,5
68,2017,2017-01-23,5,21
69,2017,2017-01-24,1,5
70,2017,2017-01-24,2,1
71,2017,2017-01-24,3,1
72,2017,2017-01-24,4,4
73,2017,2017-01-24,5,29
74,2017,2017-01-25,1,9
75,2017,2017-01-25,2,4
76,2017,2017-01-25,3,10
77,2017,2017-01-25,4,8
78,2017,2017-01-25,5,32
